seq_id	aln_start	aln_end	env_start	env_end	hmm_acc	hmm_name	type	hmm_start	hmm_end	hmm_length	score	evalue	significance	clan
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	25	177	24	183	PF13191.10	AAA_16	Domain	2	147	167	51.3	2.10E-13	1	CL0023
IMGVR_UViG_2551306657_000001.2551306657.2551467356_36	84	378	61	380	PF04860.16	Phage_portal	Family	26	318	321	101	7.80E-29	1	No_Clan
IMGVR_UViG_2663763426_000001.2663763426.2663857909_10	32	194	19	230	PF12708.11	Pectate_lyase_3	Repeat	17	173	214	39.9	4.20E-10	1	CL0268
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_21	238	397	237	407	PF08480.14	Disaggr_assoc	Repeat	3	169	194	58.4	1.00E-15	1	CL0268
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_27	20	49	16	49	PF02954.23	HTH_8	Domain	13	42	42	27.2	2.70E-06	1	CL0123
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_114	7	47	7	47	PF18454.5	Mtd_N	Domain	1	37	37	45.4	6.50E-12	1	CL0737
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_114	290	385	235	404	PF13229.10	Beta_helix	Repeat	54	145	158	28	1.60E-06	1	CL0268
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_114	508	665	498	685	PF13229.10	Beta_helix	Repeat	15	156	158	28.1	1.60E-06	1	CL0268
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_178	9	215	5	272	PF04454.16	Linocin_M18	Family	16	203	253	61.4	8.50E-17	1	CL0373
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_182	13	88	13	88	PF04883.16	HK97-gp10_like	Family	1	77	78	31.2	3.70E-07	1	CL0348
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_187	110	294	109	307	PF10145.13	PhageMin_Tail	Family	2	186	201	123.4	1.20E-35	1	No_Clan
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_191	39	114	39	115	PF10102.13	DUF2341	Family	1	83	84	37.7	2.60E-09	1	No_Clan
IMGVR_UViG_3300005263_000012.3300005263.Ga0071346_1003385_192	250	398	191	403	PF08480.14	Disaggr_assoc	Repeat	2	156	194	33.7	3.80E-08	1	CL0268
IMGVR_UViG_3300005405_000203.3300005405.Ga0074193_1001177_16	94	210	90	213	PF14550.10	Peptidase_S78_2	Family	5	111	120	65.3	5.60E-18	1	CL0201
IMGVR_UViG_3300005405_000203.3300005405.Ga0074193_1001177_16	383	402	383	405	PF13240.10	zinc_ribbon_2	Domain	1	20	23	27.6	2.10E-06	1	CL0167
IMGVR_UViG_3300005405_000203.3300005405.Ga0074193_1001177_29	152	213	151	213	PF01471.22	PG_binding_1	Domain	2	57	57	64.4	8.90E-18	1	CL0244
IMGVR_UViG_3300005405_000203.3300005405.Ga0074193_1001177_33	80	323	78	335	PF04865.18	Baseplate_J	Family	3	243	255	141.3	3.70E-41	1	No_Clan
IMGVR_UViG_3300006483_000014.3300006483.Ga0100240_113756_19	42	107	42	119	PF10102.13	DUF2341	Family	1	68	84	38.6	1.40E-09	1	No_Clan
IMGVR_UViG_3300006483_000014.3300006483.Ga0100240_113756_19	527	607	527	609	PF10102.13	DUF2341	Family	1	82	84	38.3	1.70E-09	1	No_Clan
IMGVR_UViG_3300006840_000218.3300006840.Ga0101790_100879_1	226	296	217	296	PF18911.4	PKD_4	Domain	14	85	85	68.5	4.50E-19	1	CL0159
IMGVR_UViG_3300006840_000218.3300006840.Ga0101790_100879_1	304	382	302	383	PF18911.4	PKD_4	Domain	3	84	85	72.7	2.20E-20	1	CL0159
IMGVR_UViG_3300007802_000040.3300007802.Ga0105667_101691_4	64	181	61	193	PF03237.19	Terminase_6N	Domain	4	119	215	23.6	4.00E-05	1	CL0023
IMGVR_UViG_3300007802_000040.3300007802.Ga0105667_101691_4	410	508	389	510	PF17289.6	Terminase_6C	Domain	52	152	155	23.3	5.80E-05	1	CL0219
IMGVR_UViG_3300007802_000040.3300007802.Ga0105667_101691_5	84	456	82	461	PF04860.16	Phage_portal	Family	6	316	321	59.1	4.60E-16	1	No_Clan
IMGVR_UViG_3300007802_000040.3300007802.Ga0105667_101691_7	5	134	3	136	PF14550.10	Peptidase_S78_2	Family	4	118	120	34	2.80E-08	1	CL0201
IMGVR_UViG_3300008978_000005.3300008978.Ga0116004_1000198_13	21	318	12	319	PF18906.4	Phage_tube_2	Family	12	268	269	57.8	1.30E-15	1	No_Clan
IMGVR_UViG_3300008978_000005.3300008978.Ga0116004_1000198_19	197	293	197	294	PF10102.13	DUF2341	Family	1	83	84	30.5	4.60E-07	1	No_Clan
IMGVR_UViG_3300008978_000005.3300008978.Ga0116004_1000198_25	18	88	17	96	PF10162.13	G8	Domain	2	69	122	30.2	4.10E-07	1	No_Clan
IMGVR_UViG_3300010236_000015.3300010236.Ga0136246_10000332_1	118	169	118	171	PF13884.10	Peptidase_S74	Domain	1	51	54	40.1	3.40E-10	1	No_Clan
IMGVR_UViG_3300010274_000145.3300010274.Ga0134100_1000991_13	26	98	17	125	PF13022.10	HTH_Tnp_1_2	Domain	8	83	122	29	1.10E-06	1	CL0123
IMGVR_UViG_3300010274_000145.3300010274.Ga0134100_1000991_35	105	301	93	306	PF13229.10	Beta_helix	Repeat	11	155	158	30.2	3.60E-07	1	CL0268
IMGVR_UViG_3300010274_000121.3300010274.Ga0134100_1003248_7	157	323	155	325	PF13229.10	Beta_helix	Repeat	3	156	158	46.9	2.60E-12	1	CL0268
IMGVR_UViG_3300010274_000121.3300010274.Ga0134100_1003248_11	74	231	73	232	PF13385.10	Laminin_G_3	Domain	2	150	151	79.4	3.40E-22	1	CL0004
IMGVR_UViG_3300010274_000121.3300010274.Ga0134100_1003248_11	607	680	601	680	PF18911.4	PKD_4	Domain	11	85	85	48.4	8.10E-13	1	CL0159
IMGVR_UViG_3300010274_000121.3300010274.Ga0134100_1003248_14	229	275	218	275	PF18911.4	PKD_4	Domain	17	64	85	52.2	5.40E-14	1	CL0159
IMGVR_UViG_3300010281_000136.3300010281.Ga0134090_1001720_17	26	98	17	125	PF13022.10	HTH_Tnp_1_2	Domain	8	83	122	29	1.10E-06	1	CL0123
IMGVR_UViG_3300010428_000081.3300010428.Ga0134103_1006971_1	94	166	93	166	PF10145.13	PhageMin_Tail	Family	2	75	201	69.2	4.80E-19	1	No_Clan
IMGVR_UViG_3300010428_000081.3300010428.Ga0134103_1006971_5	7	85	7	118	PF11367.12	DUF3168	Family	1	84	117	43.9	2.70E-11	1	CL0691
IMGVR_UViG_3300010428_000081.3300010428.Ga0134103_1006971_6	14	90	13	90	PF04883.16	HK97-gp10_like	Family	2	78	78	26.8	9.20E-06	1	CL0348
IMGVR_UViG_3300010428_000096.3300010428.Ga0134103_1002469_13	26	98	17	125	PF13022.10	HTH_Tnp_1_2	Domain	8	83	122	29	1.10E-06	1	CL0123
IMGVR_UViG_3300010428_000104.3300010428.Ga0134103_1003739_7	7	216	3	235	PF04454.16	Linocin_M18	Family	14	204	253	52.6	4.20E-14	1	CL0373
IMGVR_UViG_3300010428_000104.3300010428.Ga0134103_1003739_11	13	97	13	97	PF04883.16	HK97-gp10_like	Family	1	78	78	25.3	2.60E-05	1	CL0348
IMGVR_UViG_3300010428_000104.3300010428.Ga0134103_1003739_16	94	211	93	211	PF10145.13	PhageMin_Tail	Family	2	120	201	115.6	2.90E-33	1	No_Clan
IMGVR_UViG_3300011979_000236.3300011979.Ga0120379_1000514_25	78	385	71	390	PF06074.16	DUF935	Family	93	395	517	43.6	1.90E-11	1	No_Clan
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_5	215	369	212	377	PF08480.14	Disaggr_assoc	Repeat	4	161	194	70.9	1.50E-19	1	CL0268
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_13	4	81	4	82	PF10102.13	DUF2341	Family	1	83	84	72	5.10E-20	1	No_Clan
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_17	98	296	97	301	PF10145.13	PhageMin_Tail	Family	2	198	201	97.8	8.20E-28	1	No_Clan
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_21	7	118	7	118	PF11367.12	DUF3168	Family	1	117	117	42.7	6.20E-11	1	CL0691
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_22	13	89	13	89	PF04883.16	HK97-gp10_like	Family	1	78	78	42.2	1.40E-10	1	CL0348
IMGVR_UViG_3300014204_000435.3300014204.Ga0172381_10000949_25	8	235	5	254	PF04454.16	Linocin_M18	Family	15	221	253	64.5	9.60E-18	1	CL0373
IMGVR_UViG_3300014204_000586.3300014204.Ga0172381_10001414_9	275	429	274	467	PF08480.14	Disaggr_assoc	Repeat	2	151	194	49.8	4.40E-13	1	CL0268
IMGVR_UViG_3300014204_000586.3300014204.Ga0172381_10001414_9	721	871	719	875	PF13385.10	Laminin_G_3	Domain	2	147	151	52.1	8.80E-14	1	CL0004
IMGVR_UViG_3300014204_000586.3300014204.Ga0172381_10001414_15	22	71	17	73	PF01047.26	MarR	Domain	8	53	59	28	1.70E-06	1	CL0123
